0;10;18;5488;0
196;10;19;7469;0
463;10;35;11462;0
872;10;43;6304;0
1097;10;46;9341;0
1431;10;62;1863;0
1498;10;68;13824;0
1992;10;79;7975;0
2277;10;87;2287;0
2359;10;89;4078;0
2505;10;96;12557;0
2976;1;3;14793;23
3399;1;8;7689;0
3619;1;23;7040;0
3820;1;28;1940;0
3875;1;42;10438;0
4173;1;55;1235;0
4208;1;88;12766;0
4573;1;91;7197;0
4779;1;97;5650;0
4953;5;6;13201;13
5260;5;14;10007;0
5493;5;27;6786;0
5651;5;36;10443;0
5894;5;60;11575;0
6163;5;61;2682;0
6225;5;64;6822;0
6384;5;65;2597;0
6444;5;66;5431;0
6570;5;76;2454;0
6627;5;95;14667;0
6982;4;16;11403;14
7282;4;20;12766;0
7618;4;26;14835;0
8008;4;29;6489;0
8179;4;38;1820;0
8227;4;44;3366;0
8316;4;69;2902;0
8392;4;73;8529;0
8616;4;86;11221;0
8911;4;99;4326;0
9035;2;2;12897;10
9551;2;9;9454;0
9929;2;12;11397;0
10385;2;21;12173;0
10872;2;32;6550;0
11134;2;33;11464;0
11593;2;47;13029;0
12114;2;50;5825;0
12347;2;51;14070;0
12910;2;53;9957;0
13308;2;72;11631;0
13773;2;80;4135;0
13938;2;81;5161;0
14144;2;85;10854;0
14578;2;92;12838;0
15092;2;98;6158;0
15338;2;100;3408;0
15489;3;1;7704;15
15764;3;15;5010;0
15943;3;30;7573;0
16213;3;34;11578;0
16627;3;37;11497;0
17038;3;48;4870;0
17212;3;75;9641;0
17556;3;82;13720;0
18075;9;11;3007;29
18191;9;41;13372;0
18705;9;59;8140;0
19018;9;74;1663;0
19082;9;78;1309;0
19138;8;45;13969;6
19463;8;54;10704;0
19712;8;57;2918;0
19780;8;63;13516;0
20094;8;67;5282;0
20217;8;77;6096;0
20359;8;93;5771;0
20501;7;5;8019;8
20683;7;7;14743;0
21018;7;22;4550;0
21121;7;24;8672;0
21318;7;25;9510;0
21534;7;40;2969;0
21601;7;49;4012;0
21692;7;58;10376;0
21928;7;71;9496;0
22144;7;84;7099;0
22305;7;90;4148;0
22417;6;4;7528;18
22577;6;10;8686;0
22762;6;13;8543;0
22944;6;17;12923;0
23219;6;31;13347;0
23503;6;39;13449;0
23789;6;52;13320;0
24072;6;56;7254;0
24226;6;70;5652;0
24346;6;83;4064;0
24432;6;94;6681;0
